iter	Passed	Remaining
0	1	134
1	2	121
2	3	113
3	4	103
4	5	100
5	6	97
6	7	94
7	7	91
8	8	88
9	9	86
10	10	84
11	11	82
12	12	82
13	13	81
14	14	79
15	14	78
16	15	77
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	64
30	28	63
31	29	62
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	40
54	48	39
55	49	38
56	50	37
57	51	36
58	51	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	13
84	74	13
85	75	12
86	76	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	6
92	81	6
93	82	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	87	0
